date;ts;serveur;ip;user
Mar 10 09:35:16 ;1678437316;604094;sacha;192.168.0.62;
Mar 10 09:35:17 ;1678437317;604099;sacha;192.168.0.62;
Mar 10 10:05:01 ;1678439101;605391;sacha;192.168.0.62;
Mar 10 10:05:01 ;1678439101;605410;sacha;192.168.0.62;
Mar 10 10:05:02 ;1678439102;605415;sacha;192.168.0.62;
Mar 10 10:05:16 ;1678439116;605430;sacha;192.168.0.62;
Mar 10 10:05:17 ;1678439117;605435;sacha;192.168.0.62;
Mar 10 10:35:01 ;1678440901;606750;sacha;192.168.0.62;
Mar 10 10:35:02 ;1678440902;606754;sacha;192.168.0.62;
Mar 10 10:35:02 ;1678440902;606759;sacha;192.168.0.62;
Mar 10 10:35:16 ;1678440916;606778;sacha;192.168.0.62;
Mar 10 10:35:17 ;1678440917;606784;sacha;192.168.0.62;
Mar 10 11:05:01 ;1678442701;608579;sacha;192.168.0.62;
Mar 10 11:05:01 ;1678442701;608583;sacha;192.168.0.62;
Mar 10 11:05:02 ;1678442702;608590;sacha;192.168.0.62;
Mar 10 11:05:16 ;1678442716;608607;sacha;192.168.0.62;
Mar 10 11:05:17 ;1678442717;608612;sacha;192.168.0.62;
Mar 10 11:35:01 ;1678444501;610040;sacha;192.168.0.62;
Mar 10 11:35:02 ;1678444502;610044;sacha;192.168.0.62;
Mar 10 11:35:02 ;1678444502;610049;sacha;192.168.0.62;
Mar 10 11:35:16 ;1678444516;610067;sacha;192.168.0.62;
Mar 10 11:35:18 ;1678444518;610073;sacha;192.168.0.62;
Mar 10 15:05:02 ;1678457102;619140;sacha;192.168.0.62;
Mar 10 15:05:02 ;1678457102;619144;sacha;192.168.0.62;
Mar 10 15:05:03 ;1678457103;619148;sacha;192.168.0.62;
Mar 10 15:05:17 ;1678457117;619164;sacha;192.168.0.62;
Mar 10 15:05:19 ;1678457119;619170;sacha;192.168.0.62;
Mar 10 15:35:01 ;1678458901;620412;sacha;192.168.0.62;
